id;tracking_code;date;details;invoice_id
1;contextually-based;2019-07-20T19:47:52;Jewelery cutting-edge;4
2;Hat;2019-07-20T22:31:27;Bedfordshire Bahamian Dollar;3
3;User-centric Gloves;2019-07-21T06:05:30;Oklahoma facilitate;1
4;Versatile Exclusive Moroccan Dirham;2019-07-20T18:14:52;Plastic;10
5;mission-critical;2019-07-20T11:54:13;paradigms Home;4
6;deposit Canadian Dollar Lebanon;2019-07-21T00:35:43;Dominican Republic Credit Card Account Handmade;4
7;Re-contextualized;2019-07-20T16:04:01;Point Orchestrator;4
8;bypassing optical;2019-07-21T07:43:30;Bedfordshire;7
9;HDD;2019-07-21T03:31:09;red firewall open-source;4
10;Rustic Quality;2019-07-21T01:48:02;Cambridgeshire hacking;7
